
# RunManager log started at Sat Dec 11 21:31:20 2010
# NEATStrategy starting, identifier neat_101211_213120

# RunManager log started at Sat Dec 11 21:55:21 2010
# NEATStrategy starting, identifier neat_101211_215521
neat_110115_175446_00002_007, 98.1898670943
neat_110115_175446_00002_008, 35.5844066973
neat_110115_175446_00002_009, 10.9658560997
neat_110115_175446_00003_001, 20.7966343431
neat_110115_175446_00003_002, 56.5685424949
neat_110115_175446_00003_003, 89.2860571422
neat_110115_175446_00003_004, 0.5
neat_110115_175446_00003_005, 68.6002915446
neat_110115_175446_00003_006, 41.0487515035
neat_110115_175446_00003_007, 15.2315462117
neat_110115_175446_00003_008, 124.121915873
neat_110115_175446_00003_009, 115.121674762
neat_110115_175446_00004_001, 300.416377716
neat_110115_175446_00004_002, 12.1655250606
neat_110115_175446_00004_003, 75.709972923
neat_110115_175446_00004_004, 87.2983390449
neat_110115_175446_00004_005, 112.401067611
neat_110115_175446_00004_006, 87.9204185613
neat_110115_175446_00004_007, 433.802950658
neat_110115_175446_00004_008, 48.0104155366
neat_110115_175446_00004_009, 93.6055553907
neat_110115_175446_00005_001, 40.8533964316
neat_110115_175446_00005_002, 121.696343413
neat_110115_175446_00005_003, 187.427319247
neat_110115_175446_00005_004, 69.3397432934
neat_110115_175446_00005_005, 82.4924238946
neat_110115_175446_00005_006, 208.062490613
neat_110115_175446_00005_007, 73.9797269527
neat_110115_175446_00005_008, 244.989795706
neat_110115_175446_00005_009, 115.854434529
neat_110115_175446_00006_001, 234.231722873
neat_110115_175446_00006_002, 73.3297347602
neat_110115_175446_00006_003, 61.7170964968
neat_110115_175446_00006_004, 169.516960803
neat_110115_175446_00006_005, 1.11803398875
neat_110115_175446_00006_006, 48.6004115209
neat_110115_175446_00006_007, 186.550261324
neat_110115_175446_00006_008, 307.587385957
neat_110115_175446_00006_009, 40.0
neat_110115_175446_00007_001, 16.5302752548
neat_110115_175446_00007_002, 178.843507011
neat_110115_175446_00007_003, 313.383152068
neat_110115_175446_00007_004, 30.0
neat_110115_175446_00007_005, 26.2773666869
neat_110115_175446_00007_006, 114.690888915
neat_110115_175446_00007_007, 209.570990359
neat_110115_175446_00007_008, 72.4051103169
neat_110115_175446_00007_009, 175.231275747
neat_110115_175446_00008_001, 238.933045015
neat_110115_175446_00008_002, 371.161689833
neat_110115_175446_00008_003, 66.1003025712
neat_110115_175446_00008_004, 68.3465434386
neat_110115_175446_00008_005, 9.01387818866
neat_110115_175446_00008_006, 40.4474968323
neat_110115_175446_00008_007, 5.83095189485
neat_110115_175446_00008_008, 85.0896585961
neat_110115_175446_00008_009, 349.287846911
neat_110115_175446_00009_001, 57.0021929403
neat_110115_175446_00009_002, 2.12132034356
neat_110115_175446_00009_003, 37.1618083521
neat_110115_175446_00009_004, 104.271280802
neat_110115_175446_00009_005, 21.9317121995
neat_110115_175446_00009_006, 84.9720542296
neat_110115_175446_00009_007, 1.0
neat_110115_175446_00009_008, 271.221311847
neat_110115_175446_00009_009, 3.53553390593
neat_110115_175446_00010_001, 73.3774488518
neat_110115_175446_00010_002, 37.4733238451
neat_110115_175446_00010_003, 156.923548265
neat_110115_175446_00010_004, 4.472135955
neat_110115_175446_00010_005, 149.646249535
neat_110115_175446_00010_006, 249.617707705
neat_110115_175446_00010_007, 63.5708266424
neat_110115_175446_00010_008, 133.493445532
neat_110115_175446_00010_009, 3.0
neat_110115_175446_00011_001, 112.058020686
neat_110115_175446_00011_002, 100.0
neat_110115_175446_00011_003, 40.0
neat_110115_175446_00011_004, 172.026160801
neat_110115_175446_00011_005, 150.0
neat_110115_175446_00011_006, 89.4427191
neat_110115_175446_00011_007, 52.7730992078
neat_110115_175446_00011_008, 54.4541091195
neat_110115_175446_00011_009, 3.0
neat_110115_175446_00012_001, 134.357731449
neat_110115_175446_00012_002, 8.5
neat_110115_175446_00012_003, 223.224102641
neat_110115_175446_00012_004, 235.212669727
neat_110115_175446_00012_005, 91.3016976841
neat_110115_175446_00012_006, 1.0
neat_110115_175446_00012_007, 80.1311425103
neat_110115_175446_00012_008, 9.21954445729
neat_110115_175446_00012_009, 79.1201617794
neat_110115_175446_00013_001, 133.093951778
neat_110115_175446_00013_002, 72.2357252334
neat_110115_175446_00013_003, 208.331466658
neat_110115_175446_00013_004, 84.0386815699
neat_110115_175446_00013_005, 2.0
neat_110115_175446_00013_006, 73.0616178304
neat_110115_175446_00013_007, 42.0475920833
neat_110115_175446_00013_008, 29.6816441593
neat_110115_175446_00013_009, 28.9913780286
neat_110115_175446_00014_001, 58.9512510469
neat_110115_175446_00014_002, 94.2019108086
neat_110115_175446_00014_003, 12.816005618
neat_110115_175446_00014_004, 5.22015325446
neat_110115_175446_00014_005, 44.5701693961
neat_110115_175446_00014_006, 69.9892848942
neat_110115_175446_00014_007, 3.0
neat_110115_175446_00014_008, 254.293629492
neat_110115_175446_00014_009, 92.4391691871
neat_110115_175446_00015_001, 52.1080607968
neat_110115_175446_00015_002, 106.254411673
neat_110115_175446_00015_003, 4.9244289009
neat_110115_175446_00015_004, 14.3265487819
neat_110115_175446_00015_005, 0.5
neat_110115_175446_00015_006, 27.4590604355
neat_110115_175446_00015_007, 24.9098374142
neat_110115_175446_00015_008, 120.217511204
neat_110115_175446_00015_009, 198.862389606
neat_110115_175446_00016_001, 98.4784240329
neat_110115_175446_00016_002, 316.172421315
neat_110115_175446_00016_003, 91.9592300968
neat_110115_175446_00016_004, 0.707106781187
neat_110115_175446_00016_005, 87.3670418407
neat_110115_175446_00016_006, 5.09901951359
neat_110115_175446_00016_007, 196.977156036
neat_110115_175446_00016_008, 24.0468293128

# RunManager log started at Sat Jan 15 21:14:10 2011
# NEATStrategy starting, identifier neat_110115_211410
neat_110115_211410_00000_001, 202.247373283
neat_110115_211410_00000_002, 253.517750858
neat_110115_211410_00000_003, 86.6833317311
neat_110115_211410_00000_004, 145.496563533
neat_110115_211410_00000_005, 2.0
neat_110115_211410_00000_006, 7.28010988928
neat_110115_211410_00000_007, 342.794399021
neat_110115_211410_00000_008, 16.6508258053
neat_110115_211410_00000_009, 272.802584299
neat_110115_211410_00001_001, 339.835254204
neat_110115_211410_00001_002, 47.9270278653
neat_110115_211410_00001_003, 8.84590300648
neat_110115_211410_00001_004, 164.012194669
neat_110115_211410_00001_005, 109.010320612
neat_110115_211410_00001_006, 92.6943903373
neat_110115_211410_00001_007, 145.253227159
neat_110115_211410_00001_008, 48.9310739715
neat_110115_211410_00001_009, 25.0
neat_110115_211410_00002_001, 19.4550764583

# RunManager log started at Mon Jan 17 18:13:28 2011

# RunManager log started at Mon Jan 17 18:13:43 2011

# RunManager log started at Mon Jan 17 18:13:46 2011

# RunManager log started at Mon Jan 17 18:13:49 2011

# RunManager log started at Mon Jan 17 18:13:51 2011

# RunManager log started at Mon Jan 17 18:13:52 2011

# RunManager log started at Mon Jan 17 18:15:05 2011
163.91016219534009 6.8617620883249275 0.86128969556240698 0.31183051609982182 0.23123250541631357, 4.0
218.69863927390293 7.523001173452263 -1.3638817285560449 0.75638123499128795 -0.043355715623403013, 1.0
15.796798987677496 2.0848464745393476 0.0040465535667313368 0.52163005415076591 0.19364022118184221, 1.41421356237

# RunManager log started at Mon Jan 17 18:23:28 2011
# NEATStrategy starting, identifier neat_110117_182328

# RunManager log started at Mon Jan 17 18:28:11 2011
# NEATStrategy starting, identifier neat_110117_182811
neat_110117_182811_00000_001, 269.029738133
neat_110117_182811_00000_002, 125.299640861
neat_110117_182811_00000_003, 108.157292866
neat_110117_182811_00000_004, 41.1096095822
neat_110117_182811_00000_005, 84.2021377401

# RunManager log started at Mon Jan 17 18:46:55 2011
# NEATStrategy starting, identifier neat_110117_184655
neat_110117_184655_00000_001, 297.754932789

# RunManager log started at Mon Jan 17 18:48:13 2011
# NEATStrategy starting, identifier neat_110117_184813
neat_110117_184813_00000_001, 104.345579686
neat_110117_184813_00000_002, 201.136769388
neat_110117_184813_00000_003, 126.400158228
neat_110117_184813_00000_004, 19.6022957839
neat_110117_184813_00000_005, 76.1577310586
neat_110117_184813_00000_006, 1.80277563773
neat_110117_184813_00000_007, 107.786826653
neat_110117_184813_00000_008, 177.634456117
neat_110117_184813_00000_009, 50.6951674225
neat_110117_184813_00001_001, 210.230825523
neat_110117_184813_00001_002, 42.7375712927
neat_110117_184813_00001_003, 148.00337834
neat_110117_184813_00001_004, 17.691806013
neat_110117_184813_00001_005, 81.0817488711
neat_110117_184813_00001_006, 104.120122935
neat_110117_184813_00001_007, 89.0673902166
neat_110117_184813_00001_008, 138.817326008
neat_110117_184813_00001_009, 48.1274350033

# RunManager log started at Mon Jan 17 19:05:21 2011
# NEATStrategy starting, identifier neat_110117_190521
neat_110117_190521_00000_001, 276.826660566
neat_110117_190521_00000_002, 29.4363720591
neat_110117_190521_00000_003, 71.137191398
neat_110117_190521_00000_004, 71.3389795273
neat_110117_190521_00000_005, 60.7494855945
neat_110117_190521_00000_006, 71.6118007035
neat_110117_190521_00000_007, 160.853971042
neat_110117_190521_00000_008, 26.1725046566
neat_110117_190521_00000_009, 131.272617099
neat_110117_190521_00001_001, 6.26498204307
neat_110117_190521_00001_002, 35.7945526582
neat_110117_190521_00001_003, 56.8264903016
neat_110117_190521_00001_004, 20.7183493551
neat_110117_190521_00001_005, 33.1850870121
neat_110117_190521_00001_006, 90.3244153039
neat_110117_190521_00001_007, 80.7372280921
neat_110117_190521_00001_008, 97.6281209488
neat_110117_190521_00001_009, 24.129857024
neat_110117_190521_00002_001, 114.693068666
neat_110117_190521_00002_002, 71.6397236176
neat_110117_190521_00002_003, 36.8408740396
neat_110117_190521_00002_004, 38.7072344659
neat_110117_190521_00002_005, 121.10532606
neat_110117_190521_00002_006, 31.4006369362
neat_110117_190521_00002_007, 45.3486493735
neat_110117_190521_00002_008, 144.860277509
neat_110117_190521_00002_009, 66.3701740242
neat_110117_190521_00003_001, 71.7112264572
neat_110117_190521_00003_002, 100.179838291
neat_110117_190521_00003_003, 5.52268050859
neat_110117_190521_00003_004, 53.2024435529
neat_110117_190521_00003_005, 81.7067928633
neat_110117_190521_00003_006, 9.70824391947
neat_110117_190521_00003_007, 31.9765539106
neat_110117_190521_00003_008, 48.6261246657
neat_110117_190521_00003_009, 27.5408787078
neat_110117_190521_00004_001, 248.937743221
neat_110117_190521_00004_002, 199.424171053
neat_110117_190521_00004_003, 2.0
neat_110117_190521_00004_004, 52.6307894678
neat_110117_190521_00004_005, 198.979898482
neat_110117_190521_00004_006, 73.0547739713
neat_110117_190521_00004_007, 112.255289408
neat_110117_190521_00004_008, 0.0
neat_110117_190521_00004_009, 65.7000761035
neat_110117_190521_00005_001, 0.5
neat_110117_190521_00005_002, 15.7876534038
neat_110117_190521_00005_003, 93.2751306619
neat_110117_190521_00005_004, 36.1697387328
neat_110117_190521_00005_005, 67.8398850235
neat_110117_190521_00005_006, 55.0363516233
neat_110117_190521_00005_007, 45.0

# RunManager log started at Mon Jan 17 21:19:53 2011
# NEATStrategy starting, identifier neat_110117_211953
neat_110117_211953_00000_001, 33.3803834609
neat_110117_211953_00000_002, 109.622078068
neat_110117_211953_00000_003, 119.0
neat_110117_211953_00000_004, 91.2414379545
neat_110117_211953_00000_005, 48.5077313425
neat_110117_211953_00000_006, 4.12310562562
neat_110117_211953_00000_007, 0.5
neat_110117_211953_00000_008, 53.4134814443
neat_110117_211953_00000_009, 133.364163102
neat_110117_211953_00001_001, 43.5660418216

# RunManager log started at Mon Jan 17 21:30:55 2011
# NEATStrategy starting, identifier neat_110117_213055
neat_110117_213055_00000_001, 248.243831746
neat_110117_213055_00000_002, 91.7877987534
neat_110117_213055_00000_003, 7.21110255093
neat_110117_213055_00000_004, 75.0
neat_110117_213055_00000_005, 55.2268050859
neat_110117_213055_00000_006, 63.387695967
neat_110117_213055_00000_007, 137.058381721
neat_110117_213055_00000_008, 7.28010988928

# RunManager log started at Mon Jan 17 21:43:58 2011
# NEATStrategy starting, identifier neat_110117_214358

# RunManager log started at Mon Jan 17 21:44:30 2011
# NEATStrategy starting, identifier neat_110117_214430

# RunManager log started at Mon Jan 17 21:49:26 2011
# NEATStrategy starting, identifier neat_110117_214926
neat_110117_214926_00000_001, 219.617849912
neat_110117_214926_00000_002, 303.608300282
neat_110117_214926_00000_003, 52.0
neat_110117_214926_00000_004, 168.505192798
neat_110117_214926_00000_005, 51.7397332811
neat_110117_214926_00000_006, 21.5928228817
neat_110117_214926_00000_007, 30.700162866
neat_110117_214926_00000_008, 7.82623792125
neat_110117_214926_00000_009, 77.4144689318
neat_110117_214926_00001_001, 72.422372234
neat_110117_214926_00001_002, 178.80995498
neat_110117_214926_00001_003, 33.941125497
neat_110117_214926_00001_004, 56.4645906742
neat_110117_214926_00001_005, 93.1785919619
neat_110117_214926_00001_006, 322.00621112
neat_110117_214926_00001_007, 5.38516480713
neat_110117_214926_00001_008, 231.17309532
neat_110117_214926_00001_009, 30.0
neat_110117_214926_00002_001, 36.6878726557
neat_110117_214926_00002_002, 314.871402322
neat_110117_214926_00002_003, 2.0
neat_110117_214926_00002_004, 73.0547739713
neat_110117_214926_00002_005, 133.033830284
neat_110117_214926_00002_006, 185.93009439
neat_110117_214926_00002_007, 57.008771255
neat_110117_214926_00002_008, 17.88854382
neat_110117_214926_00002_009, 89.4986033411
neat_110117_214926_00003_001, 49.0433481728
neat_110117_214926_00003_002, 50.2020915899
neat_110117_214926_00003_003, 169.239475301
neat_110117_214926_00003_004, 134.807269834
neat_110117_214926_00003_005, 72.5603197347
neat_110117_214926_00003_006, 105.433628411
neat_110117_214926_00003_007, 79.5110055275
neat_110117_214926_00003_008, 148.946299048
neat_110117_214926_00003_009, 156.923548265
neat_110117_214926_00004_001, 176.343414961
neat_110117_214926_00004_002, 203.420746238
neat_110117_214926_00004_003, 51.8844870843
neat_110117_214926_00004_004, 45.6508488421
neat_110117_214926_00004_005, 98.8129546163
neat_110117_214926_00004_006, 129.077496102
neat_110117_214926_00004_007, 81.6088230524
neat_110117_214926_00004_008, 45.3100430368
neat_110117_214926_00004_009, 122.184287042
neat_110117_214926_00005_001, 199.864954407
neat_110117_214926_00005_002, 13.6014705087
neat_110117_214926_00005_003, 40.5277682583
neat_110117_214926_00005_004, 36.235341864
neat_110117_214926_00005_005, 130.268952556
neat_110117_214926_00005_006, 160.0
neat_110117_214926_00005_007, 13.1244047484
neat_110117_214926_00005_008, 15.8113883008
neat_110117_214926_00005_009, 120.966937632
neat_110117_214926_00006_001, 72.3394774656
neat_110117_214926_00006_002, 32.7566787083
neat_110117_214926_00006_003, 21.3600093633
neat_110117_214926_00006_004, 57.9741321625
neat_110117_214926_00006_005, 11.6619037897
neat_110117_214926_00006_006, 57.7169819031

# RunManager log started at Mon Jan 17 23:08:07 2011
# NEATStrategy starting, identifier neat_110117_230807

# RunManager log started at Mon Jan 17 23:08:37 2011
# NEATStrategy starting, identifier neat_110117_230837
neat_110117_230837_00000_001, 75.0
neat_110117_230837_00000_002, 87.2353139503
neat_110117_230837_00000_003, 103.812330674
neat_110117_230837_00000_004, 63.1268564083
neat_110117_230837_00000_005, 20.5060966544
neat_110117_230837_00000_006, 252.833937595
neat_110117_230837_00000_007, 39.4461658466
neat_110117_230837_00000_008, 116.846052565
neat_110117_230837_00000_009, 19.3002590656

# RunManager log started at Mon Jan 17 23:19:13 2011
# NEATStrategy starting, identifier neat_110117_231913
neat_110117_231913_00000_001, 73.5527021937
neat_110117_231913_00000_002, 56.0357029045
neat_110117_231913_00000_003, 56.0802995712
neat_110117_231913_00000_004, 10.6301458127
neat_110117_231913_00000_005, 46.8241390738
neat_110117_231913_00000_006, 89.8276126812
neat_110117_231913_00000_007, 119.21933568
neat_110117_231913_00000_008, 170.660481659
neat_110117_231913_00000_009, 32.7566787083
neat_110117_231913_00001_001, 218.888099265
neat_110117_231913_00001_002, 62.6039136157
neat_110117_231913_00001_003, 101.257098517
neat_110117_231913_00001_004, 29.8328677804

# RunManager log started at Mon Jan 17 23:32:39 2011
# NEATStrategy starting, identifier neat_110117_233239
neat_110117_233239_00000_001, 85.4400374532
neat_110117_233239_00000_002, 70.0
neat_110117_233239_00000_003, 188.957667217
neat_110117_233239_00000_004, 69.5431520712
neat_110117_233239_00000_005, 78.3390068867
neat_110117_233239_00000_006, 54.4058820349
neat_110117_233239_00000_007, 24.8243831746
neat_110117_233239_00000_008, 123.236561133
neat_110117_233239_00000_009, 96.676005296
neat_110117_233239_00001_001, 44.592600283
neat_110117_233239_00001_002, 64.4980619864
neat_110117_233239_00001_003, 128.967050055
neat_110117_233239_00001_004, 83.2406150866
neat_110117_233239_00001_005, 5.09901951359
neat_110117_233239_00001_006, 172.586210341
neat_110117_233239_00001_007, 431.20296845
neat_110117_233239_00001_008, 47.3814309619
neat_110117_233239_00001_009, 60.2992537267

# RunManager log started at Mon Jan 24 20:44:45 2011

# RunManager log started at Mon Jan 24 20:45:14 2011
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 155.051604313
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 174.63390278
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 139.176147382
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 190.800943394
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 155.621335298
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 208.312265601

# RunManager log started at Mon Jan 24 20:54:17 2011
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 128.128841406
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 63.2396236548
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 142.126704036
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 59.4810894319
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 141.650979524
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 139.978569788

# RunManager log started at Mon Jan 24 21:04:25 2011
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 181.198785868
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 168.291413922

# RunManager log started at Mon Jan 24 21:12:50 2011
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 254.921556562
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 238.170107276
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 224.644163067
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 239.002092041
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 210.090456709

# RunManager log started at Mon Jan 24 21:19:37 2011
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 177.290721697
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 79.5770067293
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 187.072178584
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 72.1959140118

# RunManager log started at Mon Jan 24 21:28:45 2011
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 193.313217344
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 80.4300938704

# RunManager log started at Mon Jan 24 21:37:45 2011
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 134.807269834
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 164.195006014

# RunManager log started at Mon Jan 24 21:42:29 2011
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 130.249760077

# RunManager log started at Mon Jan 24 21:48:52 2011

# RunManager log started at Mon Jan 24 21:51:13 2011

# RunManager log started at Mon Jan 24 21:54:16 2011

# RunManager log started at Mon Jan 24 21:55:16 2011

# RunManager log started at Mon Jan 24 21:56:52 2011

# RunManager log started at Mon Jan 24 21:58:02 2011

# RunManager log started at Mon Jan 24 22:04:22 2011

# RunManager log started at Mon Jan 24 22:07:11 2011

# RunManager log started at Mon Jan 24 22:08:11 2011
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__0, 57.008771255
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__1, 40.0249921924

# RunManager log started at Mon Jan 24 22:14:50 2011
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__0, 153.480454782
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__1, 117.686022959

# RunManager log started at Mon Jan 24 22:20:06 2011

# RunManager log started at Mon Jan 24 22:22:05 2011
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__0, 330.28775333
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__1, 431.653796462
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__2, 126.167547333
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__3, 40.0249921924
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__4, 226.417755488
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__5, 55.6057550978
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__6, 446.256652611
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__7, 380.86480541
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__8, 217.036863228
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__9, 387.001291988
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__10, 427.369863233

# RunManager log started at Mon Jan 24 23:00:14 2011
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__0, 47.3814309619
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__1, 67.1788657243
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__2, 89.9388681272
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__3, 89.0898422942
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__4, 401.672752374

# RunManager log started at Mon Jan 24 23:03:54 2011
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__0, 68.0147042925
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__1, 487.462819095
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__2, 137.601780512
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__3, 117.443603487
